genus,alley_tree,sponsorship,height,trunk_circumference,crown_diameter
Birch,0,0,4.5,0.1728,0.8
Maple,0,0,6.0,0.2355999999999999,1.0
Birch,0,0,7.0,0.2198999999999999,1.2
Birch,0,0,7.0,0.2198999999999999,1.2
Maple,0,0,6.0,0.2042,1.0
Oak,0,0,6.0,0.2198999999999999,2.0
malus,0,0,4.0,0.1571,2.0
Cherry,0,0,6.0,0.1885,1.0
Maple,0,0,7.0,0.2198999999999999,1.0
Maple,0,0,7.0,0.3142,1.0
Oak,0,0,4.0,0.2198999999999999,3.0
Oak,0,0,5.0,0.2198999999999999,2.0
Birch,0,0,6.0,0.2198999999999999,1.5
Oak,0,0,5.0,0.2042,2.0
Willow,0,0,7.0,0.2827,2.0
Willow,0,0,7.0,0.3142,2.0
Oak,0,0,6.0,0.2198999999999999,2.5
Birch,0,0,5.0,0.1728,1.5
Maple,0,0,6.0,0.2355999999999999,2.5
Maple,0,0,6.0,0.2198999999999999,2.5
Maple,0,0,6.0,0.2198999999999999,2.0
Maple,0,0,5.0,0.1885,1.3
Birch,0,0,6.0,0.2198999999999999,1.5
Birch,0,0,6.0,0.2198999999999999,1.5
Birch,0,0,6.0,0.2198999999999999,1.5
Willow,0,0,6.0,0.2985,2.0
Willow,0,0,7.0,0.2827,2.0
Maple,1,0,5.0,0.18,1.0
malus,0,0,5.0,0.5027,4.0
Willow,0,0,12.0,0.6283,3.0
Willow,0,0,4.0,0.4711999999999999,2.0
Oak,0,0,5.0,0.2198999999999999,1.5
Poplar,0,0,10.0,0.377,1.3
Poplar,0,0,12.0,0.377,1.3
Poplar,0,0,12.0,0.6283,1.3
Poplar,0,0,15.0,0.7854000000000001,1.3
Poplar,0,0,15.0,0.4084,1.3
Poplar,0,0,18.0,0.9425,1.3
Poplar,0,0,18.0,0.9425,1.3
Poplar,0,0,18.0,0.4711999999999999,1.3
Poplar,0,0,18.0,0.4711999999999999,1.3
Poplar,0,0,18.0,0.377,1.3
Poplar,0,0,18.0,0.8795999999999999,1.3
Poplar,0,0,18.0,0.7226,1.3
Birch,0,0,15.0,0.6283,5.0
Birch,0,0,16.0,0.6283,5.0
Poplar,0,0,18.0,0.6283,1.3
Poplar,0,0,18.0,0.6283,1.3
